,geo_value,time_value,children cant covid
1497,6029,2021-05-30,14.4728572
1498,6037,2021-05-30,11.3263399
1499,6059,2021-05-30,7.4325221
1500,6065,2021-05-30,8.8891466
1501,6067,2021-05-30,5.317963
1502,6071,2021-05-30,10.4093004
1503,6073,2021-05-30,5.6985024
1504,6075,2021-05-30,3.9451637
1505,6077,2021-05-30,13.346493
1506,6081,2021-05-30,4.585959
1507,6085,2021-05-30,9.8408867
1508,6095,2021-05-30,6.0906501
1509,6097,2021-05-30,4.9924793
1510,6099,2021-05-30,2.6272232
1511,6111,2021-05-30,5.6873808
1611,36000,2021-05-30,6.3381868
1612,36005,2021-05-30,14.8274107
1613,36029,2021-05-30,4.9185071
1614,36047,2021-05-30,11.1845291
1615,36055,2021-05-30,6.4125138
1616,36059,2021-05-30,6.5382949
1617,36061,2021-05-30,5.42052
1618,36067,2021-05-30,4.1408716
1619,36081,2021-05-30,11.6556009
1620,36103,2021-05-30,6.5620544
1621,36119,2021-05-30,9.6058619
1705,6000,2021-05-31,7.970566
1706,6001,2021-05-31,5.1204438
1707,6013,2021-05-31,5.2812432
1708,6019,2021-05-31,9.9928599
1709,6029,2021-05-31,13.9681406
1710,6037,2021-05-31,10.5630909
1711,6059,2021-05-31,6.9723677
1712,6065,2021-05-31,8.4973833
1713,6067,2021-05-31,6.208501
1714,6071,2021-05-31,13.4295978
1715,6073,2021-05-31,6.5407459
1716,6075,2021-05-31,4.1111124
1717,6077,2021-05-31,13.5397291
1718,6081,2021-05-31,6.0450425
1719,6085,2021-05-31,11.8426207
1720,6095,2021-05-31,6.0562589
1721,6097,2021-05-31,7.2266691
1722,6099,2021-05-31,1.4739689
1723,6111,2021-05-31,6.5251975
1825,36000,2021-05-31,6.4023612
1826,36005,2021-05-31,13.3851596
1827,36029,2021-05-31,5.1246579
1828,36047,2021-05-31,11.5007121
1829,36055,2021-05-31,6.6101002
1830,36059,2021-05-31,6.3958
1831,36061,2021-05-31,5.9738218
1832,36067,2021-05-31,4.1314961
1833,36081,2021-05-31,10.3508965
1834,36103,2021-05-31,6.9701319
1835,36119,2021-05-31,11.8309796
1921,6000,2021-06-01,7.5197024
1922,6001,2021-06-01,6.5764443
1923,6013,2021-06-01,6.2756529
1924,6019,2021-06-01,10.8013242
1925,6029,2021-06-01,14.7806738
1926,6037,2021-06-01,10.3979787
1927,6059,2021-06-01,6.6522896
1928,6065,2021-06-01,8.4046738
1929,6067,2021-06-01,7.9229992
1930,6071,2021-06-01,12.5067336
1931,6073,2021-06-01,6.3060295
1932,6075,2021-06-01,3.8648973
1933,6077,2021-06-01,15.3321656
1934,6081,2021-06-01,6.7498744
1935,6085,2021-06-01,11.716377
1936,6095,2021-06-01,5.5046136
1937,6097,2021-06-01,7.5046762
1938,6099,2021-06-01,0.4365455
1939,6111,2021-06-01,5.9411154
2043,36000,2021-06-01,6.2305857
2044,36005,2021-06-01,13.4735384
2045,36029,2021-06-01,5.0574124
2046,36047,2021-06-01,11.3600883
2047,36055,2021-06-01,6.9435791
2048,36059,2021-06-01,7.0262361
2049,36061,2021-06-01,5.6849152
2050,36067,2021-06-01,5.1752201
2051,36081,2021-06-01,8.9707308
2052,36103,2021-06-01,7.8272827
2053,36119,2021-06-01,10.6215877
2140,6000,2021-06-02,6.5487432
2141,6001,2021-06-02,7.1626376
2142,6013,2021-06-02,6.1186859
2143,6019,2021-06-02,11.8613832
2144,6029,2021-06-02,14.1853468
2145,6037,2021-06-02,10.5412851
2146,6059,2021-06-02,6.3405537
2147,6065,2021-06-02,8.8286019
2148,6067,2021-06-02,9.0546695
2149,6071,2021-06-02,10.4178677
2150,6073,2021-06-02,6.6788465
2151,6075,2021-06-02,3.6718773
2152,6077,2021-06-02,14.4485294
2153,6081,2021-06-02,7.1897395
2154,6085,2021-06-02,10.5894816
2155,6095,2021-06-02,4.865799
2156,6097,2021-06-02,6.1059141
2157,6099,2021-06-02,3.6634776
2158,6111,2021-06-02,5.3175141
2261,36000,2021-06-02,6.5508546
2262,36005,2021-06-02,14.8270608
2263,36029,2021-06-02,5.9345895
2264,36047,2021-06-02,9.946711
2265,36055,2021-06-02,6.2540259
2266,36059,2021-06-02,6.0952191
2267,36061,2021-06-02,8.5252705
2268,36067,2021-06-02,4.9008054
2269,36081,2021-06-02,8.5444805
2270,36103,2021-06-02,6.3381267
